movie_name,categories,movie_rate,description,country,release_date,duration,movie_link
MaXXXine,"Horror, Crime, Mystery",6.4,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.",USA,2024,104,https://goku.sx/movie/watch-maxxxine-111412
"Mon Laferte, I Love You","Documentary, Music",6.3,"Artist and singer Mon Laferte recounts intimate moments of her life as she navigates a world tour, motherhood, and her deepest wounds.",,2024,79,https://goku.sx/movie/watch-mon-laferte-i-love-you-112177
Borderless Fog,"Thriller, Crime, Mystery, Drama",5.3,A big-city detective investigates a series of gruesome murders along the Indonesia-Malaysia border — forcing her to confront ghosts from her past.,,2024,112,https://goku.sx/movie/watch-borderless-fog-112174
Snow White and the Seven Samurai,Action,3.3,"Left for dead by her rich and powerful stepmother, Snow White is taken in by a team of samurai assassins who train her in their ways of fighting. As her stepmother becomes more and more powerful, Snow White and the samurai take up arms to topple her once and for all.",USA,2024,87,https://goku.sx/movie/watch-snow-white-and-the-seven-samurai-112129
Touch,"Romance, Drama",7.5,"Soon after the break of the pandemic and realizing that his clock is ticking, Kristofer gets the urge to embark on a journey to try to find out what really happened when his Japanese girlfriend mysteriously vanished without a trace from London fifty years earlier.",UK,2024,121,https://goku.sx/movie/watch-touch-112102
Janet Planet,Drama,6.3,"In rural Western Massachusetts, 11-year-old Lacy spends the summer of 1991 at home, enthralled by her own imagination and the attention of her mother, Janet. As the months pass, three visitors enter their orbit, all captivated by Janet.","UK, USA",2024,113,https://goku.sx/movie/watch-janet-planet-112093
Ghostlight,"Comedy, Drama",8.0,A reserved construction worker and his rebellious teenage daughter bond through a production of Romeo & Juliet.,USA,2024,115,https://goku.sx/movie/watch-ghostlight-110401
Daddio,Drama,7.2,A woman taking a cab ride from JFK engages in a conversation with the taxi driver about the important relationships in their lives.,USA,2024,101,https://goku.sx/movie/watch-daddio-110806
Dead Sea,"Thriller, Horror",4.6,"Stranded in the open sea after a fatal accident, a young woman and her two friends are rescued by a fishing vessel's captain, unaware that the ship harbors a chilling secret.",USA,2024,88,https://goku.sx/movie/watch-dead-sea-111997
The Boy in the Woods,"Drama, War, History",5.4,"The remarkable true-life survival story of a Jewish boy hiding and being hunted in the forests of Nazi-occupied Eastern Europe, based on Maxwell Smart's memoir.",USA,2023,98,https://goku.sx/movie/watch-the-boy-in-the-woods-111988
Starve Acre,"Drama, Horror",5.3,"When their son starts acting strangely, a couple unwittingly allow dark and sinister forces into their home, awakening a long-dormant ancient evil rooted deep in the countryside.","UK, USA",2024,98,https://goku.sx/movie/watch-starve-acre-111991
A Quiet Place: Day One,"Horror, Science Fiction, Thriller, Drama",6.8,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sammy fights to survive.",USA,2024,99,https://goku.sx/movie/watch-a-quiet-place-day-one-110791
Bad Boys: Ride or Die,"Action, Crime, Thriller",7.0,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",USA,2024,115,https://goku.sx/movie/watch-bad-boys-ride-or-die-109831
Young Woman and the Sea,"Drama, History",7.5,"Through the steadfast support of the women in her life, young Trudy Ederle fights to overcome adversity and the animosity of a patriarchal society to rise through the ranks of the Olympic swimming team. Against all odds, she sets her sights on completing a staggering and dangerous journey — to become the first woman to swim across the brutal 21-mile stretch known as The English Channel.",USA,2024,129,https://goku.sx/movie/watch-young-woman-and-the-sea-111640
Skywalkers: A Love Story,Documentary,7.2,Two real-life daredevils test the limits of their love and trust by illegally scaling one of the world's tallest buildings to perform an acrobatic stunt.,USA,2024,100,https://goku.sx/movie/watch-skywalkers-a-love-story-111637
Polarized,"Romance, Drama",6.1,"Lisa, an aspiring songwriter, whose farming family has suffered foreclosure is forced to work at a new, 'urban farm' where she meets Dalia. Her casual racism leads her to be fired but the women end up drawn into a passionate affair.","Canada, UK",2023,104,https://goku.sx/movie/watch-polarized-111634
